iter	Passed	Remaining
0	148	148382
1	157	78616
2	171	56891
3	185	46104
4	199	39733
5	208	34462
6	219	31165
7	232	28834
8	246	27144
9	259	25646
10	285	25636
11	300	24724
12	315	23989
13	330	23250
14	342	22509
15	354	21806
16	367	21227
17	380	20735
18	388	20062
19	400	19626
20	411	19190
21	419	18637
22	432	18369
23	446	18141
24	455	17745
25	463	17362
26	474	17108
27	483	16781
28	496	16638
29	508	16446
30	522	16327
31	529	16028
32	541	15856
33	548	15583
34	559	15431
35	571	15303
36	588	15327
37	596	15110
38	607	14970
39	615	14764
40	628	14702
41	640	14605
42	647	14419
43	660	14361
44	672	14280
45	681	14123
46	692	14049
47	703	13960
48	712	13823
49	725	13791
50	738	13744
51	746	13612
52	763	13650
53	776	13594
54	787	13535
55	794	13399
56	808	13368
57	822	13355
58	830	13241
59	842	13196
60	855	13171
61	870	13169
62	879	13073
63	891	13040
64	904	13015
65	917	12980
66	927	12910
67	939	12882
68	955	12888
69	973	12931
70	988	12933
71	1003	12928
72	1020	12963
73	1033	12929
74	1041	12842
75	1052	12800
76	1059	12704
77	1071	12665
78	1081	12604
79	1089	12534
80	1101	12493
81	1108	12414
82	1123	12407
83	1135	12380
84	1142	12295
85	1153	12258
86	1163	12205
87	1171	12143
88	1183	12109
89	1190	12040
90	1202	12009
91	1214	11991
92	1224	11946
93	1241	11963
94	1267	12078
95	1282	12075
96	1298	12091
97	1309	12053
98	1319	12011
99	1332	11993
100	1348	11999
101	1364	12012
102	1377	11996
103	1390	11979
104	1402	11950
105	1412	11914
106	1423	11879
107	1433	11843
108	1445	11817
109	1455	11777
110	1465	11735
111	1477	11716
112	1489	11694
113	1500	11661
114	1513	11646
115	1525	11626
116	1541	11637
117	1568	11723
118	1580	11697
119	1593	11686
120	1610	11700
121	1620	11665
122	1629	11615
123	1641	11597
124	1650	11556
125	1661	11527
126	1672	11499
127	1681	11458
128	1694	11439
129	1707	11429
130	1720	11412
131	1730	11380
132	1742	11357
133	1755	11345
134	1768	11328
135	1778	11298
136	1795	11309
137	1809	11301
138	1822	11291
139	1834	11269
140	1845	11243
141	1858	11231
142	1875	11240
143	1889	11230
144	1907	11244
145	1922	11245
146	1944	11281
147	1961	11293
148	1974	11279
149	1988	11270
150	2006	11280
151	2023	11290
152	2042	11307
153	2055	11293
154	2067	11273
155	2080	11256
156	2096	11255
157	2109	11242
158	2126	11248
159	2143	11252
160	2163	11275
161	2174	11247
162	2186	11230
163	2199	11214
164	2212	11198
165	2225	11179
166	2237	11161
167	2253	11158
168	2263	11128
169	2272	11094
170	2285	11078
171	2297	11059
172	2305	11020
173	2322	11025
174	2334	11006
175	2345	10982
176	2353	10942
177	2363	10915
178	2373	10885
179	2385	10868
180	2398	10853
181	2409	10830
182	2420	10808
183	2435	10799
184	2448	10785
185	2458	10758
186	2468	10731
187	2479	10708
188	2486	10670
189	2500	10661
190	2513	10646
191	2522	10616
192	2536	10607
193	2550	10594
194	2561	10572
195	2569	10541
196	2583	10528
197	2593	10505
198	2602	10476
199	2614	10458
200	2624	10431
201	2633	10405
202	2646	10390
203	2653	10352
204	2663	10330
205	2676	10315
206	2686	10293
207	2701	10287
208	2717	10284
209	2731	10276
210	2745	10267
211	2766	10282
212	2782	10280
213	2798	10278
214	2815	10280
215	2835	10291
216	2860	10321
217	2871	10301
218	2882	10281
219	2895	10267
220	2908	10251
221	2918	10227
222	2930	10210
223	2939	10183
224	2950	10162
225	2963	10149
226	2974	10130
227	2984	10106
228	2999	10099
229	3013	10088
230	3026	10074
231	3035	10047
232	3047	10030
233	3056	10006
234	3066	9982
235	3080	9972
236	3092	9956
237	3101	9928
238	3111	9908
239	3123	9889
240	3131	9863
241	3144	9849
242	3153	9825
243	3169	9821
244	3178	9796
245	3191	9780
246	3199	9755
247	3213	9743
248	3229	9739
249	3242	9727
250	3252	9706
251	3270	9707
252	3288	9708
253	3298	9688
254	3310	9672
255	3324	9660
256	3338	9652
257	3354	9646
258	3374	9653
259	3389	9646
260	3409	9653
261	3426	9651
262	3439	9638
263	3457	9639
264	3472	9630
265	3486	9619
266	3503	9617
267	3522	9620
268	3540	9620
269	3626	9803
270	3685	9914
271	3725	9970
272	3780	10066
273	3840	10176
274	3865	10190
275	3876	10168
276	3894	10166
277	3944	10244
278	3969	10258
279	3994	10272
280	4029	10310
281	4074	10375
282	4134	10475
283	4155	10476
284	4171	10465
285	4187	10453
286	4204	10446
287	4219	10431
288	4232	10413
289	4271	10458
290	4291	10455
291	4314	10460
292	4328	10443
293	4350	10445
294	4366	10436
295	4383	10425
296	4395	10404
297	4407	10383
298	4421	10365
299	4450	10384
300	4476	10395
301	4501	10403
302	4581	10539
303	4632	10606
304	4662	10624
305	4676	10606
306	4700	10611
307	4733	10635
308	4755	10633
309	4766	10610
310	4783	10596
311	4796	10577
312	4808	10554
313	4818	10528
314	4830	10503
315	4840	10477
316	4853	10457
317	4872	10449
318	4888	10435
319	4898	10408
320	4906	10378
321	4916	10353
322	4927	10326
323	4938	10304
324	4950	10282
325	4967	10269
326	4980	10251
327	4991	10227
328	5002	10202
329	5012	10177
330	5024	10155
331	5037	10135
332	5050	10116
333	5064	10099
334	5075	10074
335	5084	10047
336	5094	10022
337	5098	9986
338	5112	9969
339	5132	9962
